BC Sale Price,Wall Material,Roof Material,Basement,Central Air Conditioning,Age,Bedrooms,Building Square Feet,Full Baths,Garage Size,Half Baths,Land Acre,Tract Median Income
1.9403715206000056,Masonry,Tar + Gravel,Full,Central A/C,44,3,1.794,2,1.0,0,0.037855831,94.598
1.9467376358708692,Masonry,Tar + Gravel,Full,Central A/C,43,4,1.904,2,0.0,1,0.056818182,162.054
1.9696760782568439,Masonry,Tar + Gravel,Full,Central A/C,6,6,4.536,5,3.0,2,0.070546373,141.806
1.9238613012373118,Masonry,Tar + Gravel,Slab,Central A/C,15,3,1.692,2,2.0,1,0.017630854,99.44
1.9014670721835707,Masonry,Tar + Gravel,Full,Central A/C,49,2,0.861,1,0.0,1,0.015932048,142.583
1.9399699774812336,Masonry,Tar + Gravel,Full,Central A/C,21,4,3.099,3,2.0,1,0.067217631,36.927
1.9733333333333334,Masonry,Shingle + Asphalt,Full,Central A/C,14,5,5.53,4,2.0,1,0.084550046,141.806
1.9257218647291792,Masonry,Shingle + Asphalt,Slab,Central A/C,21,3,2.323,2,1.0,1,0.040449954,99.44
1.956459965581589,Masonry,Tar + Gravel,Full,Central A/C,18,4,3.439,3,2.0,1,0.068319559,132.222
1.8947368421052633,Masonry,Tar + Gravel,Crawl,Central A/C,48,2,0.864,1,0.0,0,0.017607897,112.788
1.9087129070824722,Masonry,Shingle + Asphalt,Full,Central A/C,50,3,1.037,1,0.0,1,0.017860422,142.583
1.9453641635291847,Masonry,Shingle + Asphalt,Full,Central A/C,3,6,4.2,5,2.0,2,0.068870523,148.616
1.9181454490929941,Masonry,Shingle + Asphalt,Slab,Central A/C,21,2,1.422,2,1.0,0,0.026629936,99.44
1.9183503419072274,Masonry,Tar + Gravel,Full,Central A/C,49,3,1.469,2,0.0,0,0.023324151,112.788
1.9218535334835436,Masonry,Tar + Gravel,Slab,Central A/C,23,3,1.826,1,1.0,1,0.015909091,36.927
1.9331473729535125,Masonry,Shingle + Asphalt,Full,Central A/C,3,5,3.78,5,2.0,1,0.071166208,138.934
1.91695452014626,Frame + Masonry,Tar + Gravel,Slab,Central A/C,33,2,1.28,2,1.0,0,0.036593205,148.616
1.939902261698262,Masonry,Tar + Gravel,Slab,No Central A/C,43,3,2.427,2,1.0,0,0.040932048,148.616
1.9625365675367323,Masonry,Tar + Gravel,Full,Central A/C,9,4,4.3,3,2.5,1,0.071166208,138.934
1.9392262874537236,Masonry,Tar + Gravel,Slab,Central A/C,24,3,1.965,3,1.5,0,0.020661157,121.318
1.9323876596217187,Masonry,Tar + Gravel,Slab,Central A/C,15,3,1.692,2,2.0,1,0.024242424,99.44
1.9436563830180988,Masonry,Shingle + Asphalt,Full,Central A/C,3,6,4.692,4,2.0,2,0.071740129,148.616
1.9318005660529527,Masonry,Tar + Gravel,Slab,Central A/C,42,4,2.378,2,1.0,1,0.033631772,162.054
1.9157100496077821,Masonry,Shingle + Asphalt,Slab,Central A/C,27,3,1.24,2,1.0,1,0.024471993,132.222
1.9425040425423932,Masonry,Tar + Gravel,Full,Central A/C,3,6,3.914,5,2.0,1,0.071740129,132.222
1.936112343500006,Masonry,Shingle + Asphalt,Slab,Central A/C,27,3,2.356,2,2.0,1,0.024540863,132.222
1.9142112733992658,Masonry,Shingle + Asphalt,Slab,Central A/C,21,2,1.422,2,1.0,0,0.026790634,99.44
1.9221501055838477,Masonry,Tar + Gravel,Slab,Central A/C,15,3,1.692,2,2.0,1,0.020500459,99.44
1.935111431547695,Masonry,Tar + Gravel,Partial,Central A/C,21,3,1.636,1,1.0,1,0.038269054,122.479
1.9225596907337634,Masonry,Tar + Gravel,Slab,Central A/C,18,3,2.023,2,2.0,1,0.023599633,132.222
1.9052972552379244,Masonry,Tar + Gravel,Crawl,Central A/C,48,2,0.987,1,0.0,0,0.027157943,112.788
1.936754415173832,Masonry,Shingle + Asphalt,Slab,Central A/C,31,3,1.852,2,1.0,0,0.033516988,148.616
1.9544157694161448,Masonry,Tar + Gravel,Full,Central A/C,15,4,3.501,4,0.0,0,0.063360882,119.432
1.934680273525782,Masonry,Shingle + Asphalt,Slab,Central A/C,33,3,2.349,3,1.5,1,0.032874197,83.806
